Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
   270,07/11/18 02:15:49,41, 301.9080,  83.4200,1016.8500, 295.2900,0
   272,07/11/18 02:18:07,41, 301.9900,  84.3200,1016.8500, 296.1000,0
   274,07/11/18 02:18:46,41, 302.0760,  84.0400,1016.8500, 294.7100,0
   276,07/11/18 02:19:25,41, 302.0600,  84.7100,1016.8500, 295.2800,0
   278,07/11/18 02:20:04,41, 302.0060,  85.2700,1016.7500, 295.9700,0
   280,07/11/18 02:20:44,41, 301.9080,  85.0200,1016.7500, 295.9700,0
   282,07/11/18 02:23:02,41, 302.0880,  85.5300,1016.8500, 295.1600,0
   284,07/11/18 02:23:41,41, 302.0880,  86.7300,1016.8500, 295.1300,0
   286,07/11/18 02:24:20,41, 302.0760,  84.9700,1016.8500, 295.7200,0
   288,07/11/18 02:25:00,41, 302.1460,  84.3000,1016.8500, 294.6200,0
   290,07/11/18 02:25:39,41, 302.2010,  82.9000,1016.8500, 295.5800,0
   292,07/11/18 02:27:56,41, 302.2710,  82.4000,1016.7500, 295.7500,0
   294,07/11/18 02:28:35,41, 302.2440,  80.8200,1016.8500, 295.5600,0
   296,07/11/18 02:29:14,41, 302.1460,  80.5600,1016.8500, 295.6900,0
   298,07/11/18 02:29:53,41, 302.1740,  80.7600,1016.8500, 295.2300,0
   300,07/11/18 02:30:33,41, 302.1740,  82.0600,1016.8500, 294.6900,0
   302,07/11/18 02:32:51,41, 302.2440,  83.3100,1016.9500, 292.1600,0
   304,07/11/18 02:33:30,41, 302.2170,  82.1200,1016.8500, 293.4100,0
   306,07/11/18 02:34:10,41, 302.2170,  82.0900,1016.8500, 293.9900,0
   308,07/11/18 02:34:49,41, 302.2600,  83.8400,1016.8500, 293.7000,0
   310,07/11/18 02:35:28,41, 302.1310,  82.3100,1016.9500, 288.8400,0
   312,07/11/18 02:37:46,41, 302.2870,  83.9200,1016.8500, 295.6000,0
   314,07/11/18 02:38:25,41, 302.3140,  85.1700,1016.8500, 295.6600,0
   316,07/11/18 02:39:05,41, 302.2440,  84.9400,1016.8500, 295.6600,0
   318,07/11/18 02:39:44,41, 302.2280,  83.8600,1016.8500, 295.9000,0
   320,07/11/18 02:40:24,41, 302.3260,  83.4500,1016.8500, 295.3700,0
   322,07/11/18 02:42:22,41, 302.4120,  80.7400,1016.8500, 294.5900,0
   324,07/11/18 02:43:01,41, 302.4670,  81.2000,1016.9500, 294.8200,0
   326,07/11/18 02:43:40,41, 302.4120,  79.8800,1016.8500, 294.6700,0
   328,07/11/18 02:44:21,41, 302.4240,  81.0400,1016.8500, 295.2900,0
   330,07/11/18 02:45:00,41, 302.3140,  81.4200,1016.8500, 295.7600,0
   332,07/11/18 02:47:18,41, 302.2710,  83.7900,1016.7500, 295.9300,0
   334,07/11/18 02:47:57,41, 302.3420,  84.8900,1016.8500, 295.5100,0
   336,07/11/18 02:48:36,41, 302.2990,  83.4100,1016.8500, 294.8700,0
   338,07/11/18 02:49:15,41, 302.2990,  82.3000,1016.8500, 295.1800,0
   340,07/11/18 02:49:54,41, 302.3420,  82.6000,1016.8500, 296.0000,0
   342,07/11/18 02:52:13,41, 302.3960,  81.8500,1016.8500, 295.1100,0
   344,07/11/18 02:52:52,41, 302.3690,  81.5900,1016.7500, 295.4900,0
   346,07/11/18 02:53:31,41, 302.3690,  81.7000,1016.8500, 295.4000,0
   348,07/11/18 02:54:10,41, 302.3960,  81.8000,1016.8500, 294.9800,0
   350,07/11/18 02:54:50,41, 302.3420,  81.8100,1016.7500, 294.8300,0
   352,07/11/18 02:57:08,41, 302.4670,  80.2300,1016.7500, 294.9000,0
   354,07/11/18 02:57:47,41, 302.5250,  79.4200,1016.6500, 294.6300,0
   356,07/11/18 02:58:27,41, 302.5640,  79.3000,1016.7500, 294.7900,0
   358,07/11/18 02:59:06,41, 302.6620,  80.5000,1016.7500, 294.6200,0
   360,07/11/18 02:59:46,41, 302.6230,  79.6500,1016.7500, 294.9700,0
   362,07/11/18 03:02:04,41, 302.7050,  79.1300,1016.6500, 294.1200,0
   364,07/11/18 03:02:43,41, 302.7200,  78.2500,1016.6500, 295.1000,0
   366,07/11/18 03:03:22,41, 302.7050,  78.3400,1016.5500, 294.9400,0
   368,07/11/18 03:04:01,41, 302.7480,  78.1700,1016.6500, 295.4000,0
   370,07/11/18 03:04:40,41, 302.7480,  76.4100,1016.7500, 294.9000,0
   372,07/11/18 03:06:58,41, 302.8020,  79.3500,1016.6500, 294.9000,0
   374,07/11/18 03:07:37,41, 302.7910,  79.0800,1016.6500, 295.0400,0
   376,07/11/18 03:08:16,41, 302.8730,  78.8400,1016.7500, 294.7900,0
   378,07/11/18 03:08:56,41, 302.7910,  77.2900,1016.7500, 294.6600,0
   380,07/11/18 03:09:35,41, 302.9040,  79.6900,1016.6500, 294.3300,0
   382,07/11/18 03:11:53,41, 302.7910,  79.1600,1016.6500, 294.9900,0
   384,07/11/18 03:12:33,41, 302.9430,  80.4100,1016.6500, 295.3200,0
   386,07/11/18 03:13:12,41, 302.9040,  78.1700,1016.6500, 294.8700,0
   388,07/11/18 03:13:51,41, 302.9160,  77.4100,1016.6500, 290.7300,0
   390,07/11/18 03:14:30,41, 303.0840,  77.0200,1016.5500, 293.2400,0
   392,07/11/18 03:16:47,41, 302.9700,  77.2200,1016.7500, 295.5600,0
   394,07/11/18 03:17:27,41, 302.9700,  78.2700,1016.6500, 295.5000,0
   396,07/11/18 03:18:06,41, 302.9430,  77.7500,1016.6500, 295.0200,0
   398,07/11/18 03:18:45,41, 302.9590,  78.1200,1016.6500, 295.3300,0
   400,07/11/18 03:19:25,41, 302.8730,  77.7000,1016.6500, 295.6600,0
   402,07/11/18 03:21:42,41, 302.8730,  79.3700,1016.6500, 295.3800,0
   404,07/11/18 03:22:21,41, 302.9310,  79.6000,1016.6500, 294.5900,0
   406,07/11/18 03:23:01,41, 303.0130,  79.3900,1016.6500, 294.8100,0
   408,07/11/18 03:23:41,41, 303.0560,  77.7500,1016.5500, 290.6500,0
   410,07/11/18 03:24:20,41, 303.1110,  78.0200,1016.6500, 292.7700,0
   412,07/11/18 03:26:37,41, 303.4900,  78.2700,1016.5500, 288.3000,0
   414,07/11/18 03:27:17,41, 303.6310,  77.6900,1016.5500, 289.8300,0
