Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
    87,07/07/18 00:46:54,51,  0.00, 90.00,308.120,, 69.524, 66.751,, 64.201,, 55.808,,, 43.940,,, 35.569,,,, 30.020,,,, 27.446,124.887,139.798,164.205,196.965,231.659,261.874,280.266,286.318,289.826,293.009,293.934,292.581,292.360,292.161,
    89,07/07/18 00:47:33,51,  0.00, 90.00,308.135,, 70.038, 66.217,, 63.670,, 55.659,,, 43.916,,, 35.692,,,, 29.990,,,, 27.185,124.936,141.774,165.047,195.384,230.359,260.798,280.451,288.270,289.865,290.659,291.243,291.392,292.309,292.283,
    91,07/07/18 00:49:51,51,  0.00, 90.00,308.160,, 70.217, 66.226,, 64.161,, 55.836,,, 44.196,,, 35.354,,,, 30.629,,,, 26.809,127.268,141.924,164.940,196.696,232.261,262.419,278.811,286.315,289.515,290.565,290.926,292.366,291.644,292.410,
    93,07/07/18 00:50:30,51,  0.00, 90.00,308.169,, 70.013, 66.676,, 63.604,, 55.364,,, 44.154,,, 35.649,,,, 29.748,,,, 27.360,125.162,141.867,166.020,199.017,232.038,258.620,276.777,286.207,289.479,290.153,290.886,289.232,290.145,292.060,
    95,07/07/18 00:51:10,51,  0.00, 90.00,308.177,, 69.888, 66.922,, 63.427,, 56.180,,, 44.480,,, 36.251,,,, 29.877,,,, 27.243,124.950,141.434,164.385,194.214,229.272,261.739,280.435,285.804,289.086,291.026,288.805,289.668,292.115,292.598,
    97,07/07/18 00:51:49,51,  0.00, 90.00,308.185,, 70.318, 66.607,, 64.403,, 55.314,,, 43.817,,, 36.275,,,, 30.052,,,, 26.952,125.862,143.359,166.709,196.151,231.511,261.952,280.424,286.612,289.885,290.104,289.876,290.841,292.252,291.061,
    99,07/07/18 00:52:28,51,  0.00, 90.00,308.192,, 70.095, 66.607,, 63.798,, 55.935,,, 44.614,,, 35.591,,,, 30.068,,,, 26.784,125.437,144.468,167.920,196.269,232.410,263.748,281.679,289.958,290.095,290.372,293.215,293.520,293.009,291.699,
   101,07/07/18 00:54:46,51,  0.00, 90.00,308.250,, 70.052, 67.079,, 64.140,, 55.850,,, 44.245,,, 35.246,,,, 30.521,,,, 26.638,124.932,141.503,164.265,195.662,232.329,263.795,281.888,287.528,289.372,291.095,293.127,294.056,292.871,292.026,
   103,07/07/18 00:55:26,51,  0.00, 90.00,308.258,, 69.818, 66.237,, 63.715,, 55.158,,, 44.357,,, 35.512,,,, 29.897,,,, 26.966,121.738,142.120,166.029,195.916,233.825,261.633,277.130,287.862,289.842,287.402,289.728,291.228,291.775,290.688,
   105,07/07/18 00:56:05,51,  0.00, 90.00,308.255,, 69.575, 66.406,, 63.713,, 54.952,,, 44.109,,, 35.111,,,, 29.998,,,, 26.878,122.697,141.605,164.724,193.792,231.027,262.141,280.649,287.303,289.374,289.417,291.439,292.045,291.040,291.008,
   107,07/07/18 00:56:45,51,  0.00, 90.00,308.261,, 69.816, 66.322,, 63.800,, 55.546,,, 43.678,,, 35.696,,,, 30.383,,,, 26.979,124.925,141.984,164.872,196.220,230.406,262.075,282.363,286.961,288.851,290.421,291.526,291.760,292.345,292.395,
   109,07/07/18 00:57:24,51,  0.00, 90.00,308.297,, 69.467, 66.209,, 63.530,, 55.515,,, 44.647,,, 35.560,,,, 30.139,,,, 26.690,122.090,141.460,165.269,196.413,231.534,261.776,280.890,287.083,290.099,291.907,291.830,291.965,291.998,292.228,
   111,07/07/18 00:59:42,51,  0.00, 90.00,308.339,, 69.721, 66.034,, 64.242,, 55.457,,, 44.372,,, 35.715,,,, 30.119,,,, 26.851,124.104,139.489,166.354,200.143,232.706,261.050,280.453,287.341,290.325,290.663,291.327,291.575,292.714,292.035,
   113,07/07/18 01:00:21,51,  0.00, 90.00,308.346,, 69.544, 66.489,, 63.282,, 55.788,,, 43.953,,, 35.779,,,, 29.601,,,, 26.554,126.241,144.822,165.455,194.104,232.135,263.561,284.000,290.391,290.702,291.457,293.689,293.089,291.863,293.155,
   115,07/07/18 01:01:01,51,  0.00, 90.00,308.371,, 69.498, 66.276,, 64.298,, 55.545,,, 44.270,,, 35.968,,,, 29.818,,,, 26.440,124.288,141.843,163.734,193.621,230.974,260.892,280.664,288.153,289.800,290.298,291.328,292.101,292.187,292.162,
   117,07/07/18 01:01:40,51,  0.00, 90.00,308.351,, 69.940, 66.468,, 63.793,, 55.307,,, 43.875,,, 35.328,,,, 29.687,,,, 26.737,124.330,141.687,165.030,196.014,230.897,261.466,280.916,287.843,292.881,293.613,291.970,292.043,292.178,292.203,
   119,07/07/18 01:02:19,51,  0.00, 90.00,308.381,, 70.393, 66.356,, 64.242,, 55.532,,, 44.389,,, 35.706,,,, 30.096,,,, 26.877,126.097,141.550,164.883,196.216,231.730,263.902,283.208,287.754,290.063,289.998,291.931,292.132,292.336,292.770,
   121,07/07/18 01:04:37,51,  0.00, 90.00,308.433,, 69.692, 66.657,, 63.724,, 55.185,,, 44.259,,, 35.806,,,, 29.757,,,, 26.951,124.442,140.980,164.925,195.279,230.875,260.944,279.992,287.812,290.769,290.984,290.840,292.102,291.066,290.385,
   123,07/07/18 01:05:16,51,  0.00, 90.00,308.433,, 69.999, 66.639,, 64.170,, 55.698,,, 44.075,,, 35.839,,,, 30.041,,,, 27.331,123.976,141.769,165.026,196.333,229.638,261.040,282.049,287.451,290.070,292.123,292.070,292.249,294.539,293.083,
   125,07/07/18 01:05:55,51,  0.00, 90.00,308.446,, 70.305, 66.489,, 63.758,, 55.658,,, 44.077,,, 35.885,,,, 30.486,,,, 26.994,124.013,141.683,165.145,195.554,231.340,261.385,280.181,287.417,291.729,292.478,291.168,292.197,293.112,292.645,
   127,07/07/18 01:06:34,51,  0.00, 90.00,308.452,, 70.388, 66.693,, 64.051,, 56.035,,, 43.602,,, 35.630,,,, 30.196,,,, 27.138,124.584,141.569,165.076,194.941,231.565,261.141,280.284,287.332,289.085,289.961,291.401,291.879,289.953,291.635,
   129,07/07/18 01:07:13,51,  0.00, 90.00,308.473,, 70.160, 66.614,, 63.527,, 56.074,,, 43.426,,, 35.710,,,, 29.939,,,, 26.921,125.491,141.652,165.084,195.940,230.264,260.813,280.167,287.549,289.817,291.218,291.902,291.295,292.265,292.734,
   131,07/07/18 01:09:31,51,  0.00, 90.00,308.498,, 70.391, 66.360,, 63.782,, 55.447,,, 44.153,,, 35.697,,,, 29.692,,,, 26.963,124.558,140.844,165.076,196.256,230.804,261.336,281.642,287.979,289.814,291.752,290.905,291.318,292.573,291.945,
   133,07/07/18 01:10:10,51,  0.00, 90.00,308.507,, 69.612, 66.357,, 63.573,, 55.415,,, 44.193,,, 35.356,,,, 29.837,,,, 26.696,124.903,143.425,166.104,193.672,230.441,261.331,280.936,287.870,289.901,291.243,292.349,293.201,293.745,292.363,
   135,07/07/18 01:10:49,51,  0.00, 90.00,308.514,, 70.023, 66.195,, 64.079,, 55.490,,, 43.675,,, 35.810,,,, 29.739,,,, 26.685,123.815,140.936,165.365,194.837,230.130,261.513,280.002,286.540,289.171,290.681,291.061,291.861,290.371,291.132,
   137,07/07/18 01:11:28,51,  0.00, 90.00,308.515,, 69.778, 66.268,, 63.625,, 55.064,,, 43.755,,, 36.008,,,, 29.975,,,, 27.000,124.702,140.620,164.343,195.670,231.312,262.783,282.888,288.189,290.652,290.815,291.338,292.629,293.953,294.679,
   139,07/07/18 01:12:08,51,  0.00, 90.00,308.527,, 69.527, 66.664,, 63.892,, 55.760,,, 44.086,,, 36.111,,,, 30.077,,,, 26.892,124.798,141.311,165.007,196.521,233.552,263.950,279.239,284.443,285.924,290.162,291.614,289.763,290.658,293.161,
   141,07/07/18 01:14:25,51,  0.00, 90.00,308.565,, 70.177, 66.932,, 64.331,, 56.712,,, 44.677,,, 35.669,,,, 29.820,,,, 27.606,125.027,141.680,165.164,195.866,231.216,261.202,280.373,287.286,289.585,290.466,291.228,291.885,292.520,293.425,
   143,07/07/18 01:15:04,51,  0.00, 90.00,308.564,, 70.304, 66.561,, 64.017,, 56.133,,, 43.862,,, 36.161,,,, 29.742,,,, 27.088,126.326,142.520,164.323,195.644,231.782,261.031,279.035,286.765,289.473,291.083,291.417,292.549,294.034,292.130,
   145,07/07/18 01:15:44,51,  0.00, 90.00,308.578,, 70.191, 66.719,, 63.831,, 55.286,,, 44.349,,, 35.669,,,, 30.309,,,, 26.288,125.644,141.941,165.369,197.921,234.618,261.577,280.948,287.806,290.808,292.607,291.598,291.817,292.632,291.915,
   147,07/07/18 01:16:23,51,  0.00, 90.00,308.581,, 69.952, 66.860,, 64.400,, 56.428,,, 43.811,,, 36.110,,,, 30.063,,,, 27.326,124.078,139.150,164.673,196.363,229.579,258.741,278.658,285.947,290.023,290.080,291.042,291.443,291.831,291.866,
   149,07/07/18 01:17:02,51,  0.00, 90.00,308.613,, 69.984, 66.364,, 63.725,, 55.391,,, 43.914,,, 35.289,,,, 29.676,,,, 27.237,126.060,142.030,165.401,197.381,231.137,260.604,280.760,288.027,290.923,290.825,290.999,291.827,292.649,292.439,
   151,07/07/18 01:19:20,51,  0.00, 90.00,308.640,, 69.877, 66.131,, 64.030,, 55.811,,, 44.287,,, 35.339,,,, 29.964,,,, 26.674,124.150,138.792,163.015,195.993,230.351,258.309,279.076,287.591,286.748,287.566,291.209,292.196,292.059,293.900,
   153,07/07/18 01:19:59,51,  0.00, 90.00,308.636,, 70.051, 66.351,, 63.491,, 55.953,,, 43.730,,, 35.847,,,, 29.886,,,, 26.990,123.872,141.580,164.913,195.328,232.290,262.550,281.272,287.374,289.943,291.002,291.384,291.949,292.216,292.756,
   155,07/07/18 01:20:38,51,  0.00, 90.00,308.650,, 69.938, 66.385,, 63.499,, 54.778,,, 43.456,,, 35.234,,,, 30.375,,,, 26.947,125.031,140.302,163.390,194.359,232.057,261.228,280.473,288.388,290.619,290.969,290.904,292.668,293.594,292.517,
   157,07/07/18 01:21:17,51,  0.00, 90.00,308.658,, 69.954, 66.497,, 63.992,, 55.663,,, 43.217,,, 35.307,,,, 29.879,,,, 26.647,125.225,141.522,165.214,195.297,229.740,260.811,280.649,287.626,290.246,291.394,291.150,290.238,290.775,292.717,
   159,07/07/18 01:21:56,51,  0.00, 90.00,308.674,, 69.499, 66.208,, 63.265,, 54.991,,, 43.525,,, 35.735,,,, 29.331,,,, 27.090,124.760,142.373,165.502,196.344,233.307,262.441,280.171,287.958,289.508,290.863,291.885,292.042,293.347,293.513,
   161,07/07/18 01:24:15,51,  0.00, 90.00,308.713,, 69.426, 66.588,, 64.005,, 56.179,,, 44.479,,, 35.600,,,, 30.057,,,, 26.966,124.213,140.878,163.195,194.871,231.192,260.883,280.117,287.475,287.459,289.207,292.560,292.131,292.484,290.973,
   163,07/07/18 01:24:54,51,  0.00, 90.00,308.737,, 69.775, 66.439,, 63.506,, 55.528,,, 44.051,,, 35.847,,,, 29.593,,,, 27.335,124.305,139.017,165.235,196.699,232.570,262.436,280.445,287.426,290.875,290.649,290.724,292.318,292.807,292.222,
   165,07/07/18 01:25:33,51,  0.00, 90.00,308.731,, 69.796, 66.255,, 63.230,, 55.148,,, 43.823,,, 35.392,,,, 29.078,,,, 27.284,125.095,143.202,164.983,195.090,233.228,262.482,282.555,289.432,289.757,291.598,293.306,293.822,294.897,293.006,
   167,07/07/18 01:26:13,51,  0.00, 90.00,308.749,, 69.537, 66.362,, 63.700,, 55.597,,, 43.932,,, 35.738,,,, 30.133,,,, 27.034,123.228,141.382,165.797,195.573,230.325,261.095,281.040,289.227,289.932,289.796,292.963,293.721,292.195,292.962,
   169,07/07/18 01:26:52,51,  0.00, 90.00,308.745,, 70.070, 66.513,, 63.352,, 55.043,,, 43.586,,, 35.275,,,, 30.031,,,, 26.652,125.361,141.908,165.082,195.987,231.143,260.871,280.539,287.795,293.118,293.942,291.638,291.461,291.962,291.961,
   171,07/07/18 01:29:09,51,  0.00, 90.00,308.786,, 69.586, 66.097,, 63.988,, 55.219,,, 43.736,,, 35.242,,,, 29.645,,,, 26.739,124.220,143.953,168.206,195.897,231.367,261.177,279.728,287.219,290.151,290.672,290.941,291.768,292.375,292.836,
   173,07/07/18 01:29:49,51,  0.00, 90.00,308.799,, 69.754, 66.346,, 63.666,, 55.387,,, 43.755,,, 35.415,,,, 30.299,,,, 26.805,127.068,141.288,165.217,199.563,233.765,262.396,283.615,291.260,290.807,291.310,293.623,294.893,293.412,293.243,
   175,07/07/18 01:30:28,51,  0.00, 90.00,308.817,, 69.029, 65.633,, 63.595,, 55.248,,, 43.808,,, 35.597,,,, 30.403,,,, 26.493,124.042,141.026,164.612,195.820,229.795,258.797,277.592,285.127,289.364,290.683,291.844,292.683,293.041,292.253,
   177,07/07/18 01:31:08,51,  0.00, 90.00,308.815,, 69.806, 66.775,, 62.888,, 55.320,,, 42.987,,, 35.441,,,, 29.778,,,, 27.156,126.894,142.523,163.465,192.980,230.648,261.323,280.733,288.006,288.371,288.840,291.910,291.727,292.480,294.165,
   179,07/07/18 01:31:48,51,  0.00, 90.00,308.821,, 69.543, 66.111,, 63.488,, 55.849,,, 43.927,,, 36.087,,,, 30.045,,,, 26.850,125.007,143.980,167.411,196.188,228.827,261.547,283.299,288.446,292.364,294.095,291.864,292.585,292.636,292.395,
   181,07/07/18 01:34:06,51,  0.00, 90.00,308.870,, 69.844, 65.885,, 63.425,, 55.360,,, 43.321,,, 35.664,,,, 29.981,,,, 26.866,125.396,142.136,165.910,196.404,230.470,259.002,280.303,288.010,288.138,289.017,291.614,293.153,292.488,293.158,
   183,07/07/18 01:34:45,51,  0.00, 90.00,308.882,, 70.060, 66.226,, 63.872,, 55.321,,, 43.871,,, 35.825,,,, 29.711,,,, 26.555,125.415,140.853,165.317,196.843,230.282,259.955,278.938,286.445,289.540,292.727,293.621,294.205,294.352,292.165,
   185,07/07/18 01:35:24,51,  0.00, 90.00,308.893,, 70.009, 66.731,, 63.618,, 55.433,,, 43.876,,, 35.547,,,, 29.551,,,, 26.558,126.245,143.751,166.031,194.206,227.829,259.976,281.135,290.081,290.208,291.355,290.639,290.150,290.175,291.214,
