Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    41,07/14/2018 01:43:51,31,315.871, 198.776, 0.999509, 198.926, 0.999482, 188.383, 0.999789, 160.583, 0.999770, 157.247, 0.999625, 136.548, 0.999687, 123.053, 0.999913, 119.575, 1.000000, 110.763, 0.999567, 109.461, 0.999297, 114.206, 0.999348, 133.924, 0.999294, 135.975, 0.999432, 135.066, 0.999456, 124.805, 0.999350, 111.994, 0.999727, 111.523, 0.999811,  95.402, 0.999659,  83.679, 0.999595, 103.171, 0.999662, 151.376, 0.999777
    42,07/14/2018 01:48:45,31,315.855, 199.080, 0.999379, 199.646, 0.999202, 188.787, 0.999776, 161.097, 0.999742, 157.535, 0.999568, 136.864, 0.999457, 123.243, 0.999901, 120.267, 1.000000, 111.039, 0.999510, 109.935, 0.999333, 114.307, 0.999197, 134.194, 0.999539, 136.415, 0.999450, 135.274, 0.999644, 124.980, 0.999291, 112.309, 0.999780, 111.414, 0.999775,  95.518, 0.999417,  83.739, 0.999697, 103.485, 0.999493, 151.722, 0.999754
    43,07/14/2018 01:53:40,31,315.857, 198.490, 0.998792, 199.080, 0.998837, 188.592, 0.999442, 160.757, 0.999439, 157.432, 0.999450, 136.537, 0.999177, 123.150, 0.999515, 119.918, 1.000000, 111.175, 0.999008, 109.740, 0.998531, 114.268, 0.997870, 134.124, 0.998467, 136.183, 0.998218, 135.079, 0.998368, 125.117, 0.998351, 112.224, 0.998853, 111.473, 0.998585,  95.360, 0.999001,  83.728, 0.998962, 103.602, 0.998329, 151.319, 0.998617
    44,07/14/2018 01:58:35,31,315.877, 200.291, 0.999668, 200.052, 0.999439, 189.827, 0.999763, 161.980, 0.999784, 158.212, 0.999755, 137.407, 0.999795, 123.756, 0.999804, 121.077, 1.000000, 111.389, 0.999716, 110.183, 0.999756, 114.563, 0.999399, 134.419, 0.999649, 136.470, 0.999702, 135.590, 0.999649, 125.421, 0.999638, 112.561, 0.999771, 111.732, 0.999687,  95.624, 0.999484,  83.754, 0.999804, 103.495, 0.999511, 151.812, 0.999740
    45,07/14/2018 02:03:30,31,315.886, 200.060, 0.999624, 200.143, 0.999373, 190.025, 0.999693, 161.966, 0.999678, 158.551, 0.999442, 137.545, 0.999577, 123.895, 0.999654, 121.003, 1.000000, 111.613, 0.999391, 110.180, 0.999497, 114.715, 0.998913, 134.489, 0.999287, 136.442, 0.999276, 135.389, 0.999292, 125.223, 0.999554, 112.315, 0.999741, 111.623, 0.999618,  95.539, 0.999885,  83.957, 0.999793, 103.511, 0.999366, 151.450, 0.999339
    46,07/14/2018 02:08:24,31,315.933, 199.415, 0.999435, 198.815, 0.999385, 189.307, 0.999587, 161.520, 0.999777, 158.024, 0.999628, 137.022, 0.999684, 123.688, 0.999701, 119.765, 1.000000, 110.908, 0.999485, 109.790, 0.999483, 114.418, 0.999011, 134.131, 0.999453, 136.236, 0.999476, 135.232, 0.999457, 124.991, 0.999267, 112.080, 0.999397, 111.355, 0.999621,  95.410, 0.999571,  83.729, 0.999462, 103.352, 0.999354, 151.360, 0.999408
    47,07/14/2018 02:13:19,31,315.954, 200.342, 0.998861, 199.935, 0.998789, 189.977, 0.999313, 161.597, 0.999463, 158.264, 0.999279, 137.568, 0.999261, 124.004, 0.999531, 120.918, 1.000000, 111.229, 0.999112, 110.138, 0.999020, 114.686, 0.998309, 134.405, 0.998657, 136.504, 0.998470, 135.538, 0.998600, 125.362, 0.998974, 112.528, 0.999116, 111.691, 0.999138,  95.577, 0.999370,  83.873, 0.998665, 103.453, 0.998684, 151.638, 0.998934
    48,07/14/2018 02:18:13,31,316.002, 198.211, 0.998975, 198.458, 0.998969, 188.253, 0.999558, 160.099, 0.999712, 157.431, 0.999400, 136.295, 0.999374, 122.675, 0.999720, 119.708, 1.000000, 110.691, 0.999628, 109.593, 0.999354, 113.851, 0.998987, 133.800, 0.999435, 135.933, 0.999347, 134.656, 0.999225, 124.627, 0.999477, 111.852, 0.999702, 111.223, 0.999602,  95.204, 0.999807,  83.530, 0.999672, 103.010, 0.999415, 151.097, 0.999254
    49,07/14/2018 02:23:09,31,316.040, 197.982, 0.998711, 198.027, 0.998755, 188.550, 0.999252, 160.398, 0.999159, 156.649, 0.999063, 136.428, 0.998997, 122.759, 0.999392, 120.011, 1.000000, 110.499, 0.999060, 109.322, 0.998882, 113.908, 0.998460, 133.678, 0.998983, 135.790, 0.998833, 134.621, 0.999117, 124.768, 0.998913, 111.855, 0.999511, 111.214, 0.999464,  95.360, 0.999608,  83.476, 0.999454, 103.127, 0.999135, 151.084, 0.999315
    50,07/14/2018 02:28:05,31,316.073, 198.523, 0.998549, 198.547, 0.998523, 188.728, 0.999284, 160.734, 0.999155, 157.181, 0.999172, 136.831, 0.998867, 123.062, 0.999456, 119.800, 1.000000, 110.855, 0.998911, 109.373, 0.998849, 113.941, 0.998485, 133.638, 0.998906, 135.830, 0.998661, 135.078, 0.998631, 124.695, 0.998825, 112.034, 0.999343, 111.230, 0.999232,  95.156, 0.999260,  83.462, 0.998793, 103.096, 0.998592, 151.242, 0.999005
